Film,Year,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Average audience ,Audience vs Critics deviance ,Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million),Budget ($million),IMDb Rating,IMDB vs RT disparity,one-hot encoding Script Type,one-hot encoding Genre,one-hot encoding Oscar Winners,vote_average
300,2007,60,51,56.0,89,71,80.0,-25,210614939,211,245,245453242,456068181,456,65,0,0,0,35,0,7.0
3:10 to yuma,2007,88,76,82.0,86,73,80.0,3,53606916,54,16,16173815,69780731,70,50,0,0,9,44,0,7.1
30 days of night,2007,50,53,52.0,56,65,61.0,-9,39568996,40,36,35526091,75095087,75,32,0,0,0,29,0,6.2
across the universe,2007,54,56,55.0,82,73,78.0,-23,24343673,24,5,5023470,29367143,29,45,0,0,6,32,0,7.1
alien vs. predator - requiem,2007,14,29,22.0,31,45,38.0,-17,41797066,42,87,87086650,128883716,129,40,0,0,11,38,0,5.0
alvin and the chipmunks,2007,26,39,33.0,65,55,60.0,-28,217326974,217,143,143138914,360465888,360,70,0,0,0,25,0,5.5
american gangster,2007,80,76,78.0,87,75,81.0,-3,130164645,130,138,137737769,267902414,268,100,0,0,3,21,0,7.4
bee movie,2007,52,54,53.0,53,64,59.0,-6,126631277,127,160,160492289,287123566,287,150,0,0,6,17,0,5.7
beowulf,2007,71,59,65.0,50,63,57.0,9,82195215,82,114,114068876,196264091,196,150,0,0,6,17,0,4.4
blades of glory,2007,69,64,67.0,68,70,69.0,-3,118594548,119,27,27114094,145708642,146,61,0,0,6,41,0,5.9
charlie wilson's war,2007,82,69,76.0,73,69,71.0,5,66661095,67,52,51814126,118475221,118,75,0,0,3,43,0,6.5
daddy day camp,2007,1,13,7.0,38,19,29.0,-22,13235267,13,5,4962131,18197398,18,6,0,0,11,25,0,4.4
disturbia,2007,67,62,65.0,77,81,79.0,-15,80209692,80,38,37550442,117760134,118,20,0,0,0,23,0,6.6
